,chave_nota,numero da nota,valor da nota,CFOP
0,31250721238738000323550010000004061639199159,406,"
            45,60
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
1,31250721238738000323550010000004071167666112,407,"
            60,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
2,31250721238738000323550010000004081077109173,408,"
            54,40
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
3,31250721238738000323550010000004091604204131,409,"
            59,20
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
4,31250721238738000323550010000004101586683917,410,"
            98,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
5,31250721238738000323550010000004111746322728,411,"
            74,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
6,31250721238738000323550010000004121435253187,412,"
            80,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
7,31250721238738000323550010000004131135789119,413,"
            30,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
8,31250721238738000323550010000004141176476490,414,"
            100,80
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
9,31250721238738000323550010000004151822896547,415,"
            72,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
10,31250721238738000323550010000004161577330156,416,"
            128,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
11,31250721238738000323550010000004171513108131,417,"
            30,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
12,31250721238738000323550010000004181628312839,418,"
            30,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
13,31250721238738000323550010000004191159683756,419,"
            80,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
14,31250721238738000323550010000004201715881597,420,"
            30,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
15,31250721238738000323550010000004211129901834,421,"
            683,00
        ","6910 - REMESSA EM BONIFICAÇÃO, DOAÇÃO OU BRINDE"
16,31250721238738000323550010000004221735632341,422,"
            48,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
17,31250721238738000323550010000004231453079979,423,"
            45,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
18,31250721238738000323550010000004241257266416,424,"
            175,44
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
19,31250721238738000323550010000004251662078783,425,"
            110,40
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
20,31250721238738000323550010000004261944387810,426,"
            110,40
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
21,31250721238738000323550010000004271901238918,427,"
            52,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
22,31250721238738000323550010000004281382168415,428,"
            126,40
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
23,31250721238738000323550010000004291665135612,429,"
            150,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
24,31250721238738000323550010000004301547850223,430,"
            72,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
25,31250721238738000323550010000004311620235780,431,"
            37,50
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
26,31250821238738000323550010000004321201707510,432,"
            1,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
27,31250721238738000323550010000004331572241113,433,"
            217,00
        ",5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS
