CHAVE,NUMERO,CFOP,DATA,ISBN,EXEMPLARES,VALOR_UNITARIO,VALOR_TOTAL
31240621238738000323550010000000011288661854,1,"6108 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS, DEST",05/06/2024 11:10:13,2 :: 2 :: :: 9788570784780 :: 9788570784780 :: Analisar Discursos Institucionais,"1,00","30,00","30,00"
31240621238738000323550010000000021120389461,2,5102 - VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS,06/06/2024 08:40:15,5 :: 5 :: :: 9786558240433 :: 9786558240433 :: A educação entre a ética e a estética: os álbuns ilustrados paulistas (1915-1929),"1,00","64,00","64,00"
31240721238738000323550010000000011361275916,1,"1910 - ENTRADA DE BONIFICAÇÃO, DOAÇÃO OU BRINDE",01/07/2024 14:31:35,65 :: 65 :: :: 9788570782113 :: 9788570782113 :: A clara cor da noite escura,"1,00","65,00","65,00"
31240721238738000323550010000000011361275916,1,"1910 - ENTRADA DE BONIFICAÇÃO, DOAÇÃO OU BRINDE",01/07/2024 14:31:35,35 :: 35 :: :: 9788570784131 :: 9788570784131 :: A divinação,"104,00","55,00","5.720,00"
31240721238738000323550010000000011361275916,1,"1910 - ENTRADA DE BONIFICAÇÃO, DOAÇÃO OU BRINDE",01/07/2024 14:31:35,5 :: 5 :: :: 9786558240433 :: 9786558240433 :: A educação entre a ética e a estética: os álbuns ilustrados paulistas (1915-1929),"237,00","75,00","17.775,00"
31240721238738000323550010000000011361275916,1,"1910 - ENTRADA DE BONIFICAÇÃO, DOAÇÃO OU BRINDE",01/07/2024 14:31:35,45 :: 45 :: :: 9788570784124 :: 9788570784124 :: A ética de Pedro Abelardo,"3,00","40,00","120,00"
31240721238738000323550010000000011361275916,1,"1910 - ENTRADA DE BONIFICAÇÃO, DOAÇÃO OU BRINDE",01/07/2024 14:31:35,9 :: 9 :: :: 9786588055021 :: 9786588055021 :: A expressão da anterioridade temporal em espanhol: uma análise sociolinguística,"39,00","60,00","2.340,00"
31240721238738000323550010000000011361275916,1,"1910 - ENTRADA DE BONIFICAÇÃO, DOAÇÃO OU BRINDE",01/07/2024 14:31:35,18 :: 18 :: :: 9788570784711 :: 9788570784711 :: A formação do professor de Ciências Sociais,"29,00","40,00","1.160,00"
31240721238738000323550010000000011361275916,1,"1910 - ENTRADA DE BONIFICAÇÃO, DOAÇÃO OU BRINDE",01/07/2024 14:31:35,11 :: 11 :: :: 9786588055038 :: 9786588055038 :: A igreja como poder eclesiástico e civil em Thomas Hobbes,"200,00","85,00","17.000,00"
31240721238738000323550010000000011361275916,1,"1910 - ENTRADA DE BONIFICAÇÃO, DOAÇÃO OU BRINDE",01/07/2024 14:31:35,34 :: 34 :: :: 9788570784087 :: 9788570784087 :: A natureza dos deuses,"14,00","55,00","770,00"
