,TITLE,AUTHOR,ISBN,THEME1,THEME2,THEME3,PUBLISHER,BOOK_YEAR,BOOK_PAGE_COUT
0,A clara cor da noite escura,Carlos Rodrigues Brandão,ISBN: 9788570782113,Social conditions,Blacks,Black people,Editora: Editora da UCG & EDFU,Ano: 2009,215 páginas
1,A expressão da anterioridade temporal em espanhol,Leandro Silveira de Araujo,ISBN: 9786588055021,Língua espanhola,Sociolinguística,espanhol,Editora: FUNDAÇÃO DE APOIO UNIVERSITARIO - FAU,Ano: 2023,240 páginas
2,A igreja como poder eclesiástico e civil em Thomas Hobbes,Wagner de Mello Elias,ISBN: 9786588055038,Filosofia e disciplinas relacionadas,Thomas,Hobbes,Editora: FUNDAÇÃO DE APOIO UNIVERSITARIO - FAU,Ano: 2023,208 páginas
3,A noção de alma na Suma de Teologia de Tomás de Aquino,Anselmo Tadeu de Ferreira,ISBN: 9786558240228,Filosofia e disciplinas relacionadas,filosofia,medieval,Editora: Editora da Universidade Federal de Uberlândia,Ano: 2023,152 páginas
4,Discussões Tusculanas,BRUNO FREGNI BASSETTO,ISBN: 9788570783080,Filosofia e disciplinas relacionadas,filosofia,estoica,Editora: Editora da Universidade Federal de Uberlândia,Ano: 2014,528 páginas
5,Ecologia Comportamental,Kleber Del Claro,ISBN: 9786588055151,"Biologia, ciências da vida",biologia,evolutiva,Editora: FUNDAÇÃO DE APOIO UNIVERSITARIO - FAU,Ano: 2024,184 páginas
6,Ensaios sobre língua e linguagem,Wilhem von Humboldt,ISBN: 9786558240259,Linguística,Linguística,Linguagem,Editora: Editora da Universidade Federal de Uberlândia,Ano: 2022,322 páginas
7,Escritos da Série Cognitiva,Charles Sanders Peirce,ISBN: 9786588055045,Linguística,Filosofia e disciplinas relacionadas,filosofia,Editora: FUNDAÇÃO DE APOIO UNIVERSITARIO - FAU,Ano: 2023,480 páginas
8,"""No rancho fundo""",Carlos Rodrigues Brandão,ISBN: 9788570781697,Linguística,Educação,Rural conditions,Editora: EDUFU,Ano: 2009,243 páginas
9,Pedagogias da beleza,Renata Neiva,ISBN: 9786558240327,Linguística,Educação,Educação,Editora: Editora da Universidade Federal de Uberlândia,Ano: 2021,209 páginas
10,Psicanálise em perspectiva,Maria Lucia Castilho Romera,ISBN: 9786558240334,Psicologia,Psicanálise,Freud,Editora: Editora da Universidade Federal de Uberlândia,Ano: 2021,420 páginas
11,Joaquina do Pompéu,Gilberto Cezar de Noronha,ISBN: 9788570781550,Social conditions,Women,Biography,Editora: EDUFU,Ano: 2007,304 páginas
12,Sobre a humilhação,Izabel Andrade Marson,ISBN: 9788570780898,Humiliation,Congresses,Humilhação,Editora: EDUFU,Ano: 2005,461 páginas
13,Subterrâneos do autoritarismo em Memórias do cárcere,Tania Nunes Davi,ISBN: 9788570781444,Film and video adaptations,Motion pictures and history,Motion pictures and literature,Editora: EDUFU,Ano: 2007,220 páginas
14,Subterrâneos do autoritarismo em Memórias do cárcere,Tania Nunes Davi,ISBN: 9788570781444,Film and video adaptations,Motion pictures and history,Motion pictures and literature,Editora: EDUFU,Ano: 2007,220 páginas
15,(Re)tratos discursivos do sem-terra,Cleudemar Alves Fernandes,ISBN: 9788570781451,Portuguese language,Language,Poor,Editora: EDUFU,Ano: 2007,186 páginas
16,Escritas da história,Elio Cantalício Serpa,ISBN: 9788570781468,Literature and history,History,Philosophy,Editora: EDUFU,Ano: 2007,425 páginas
17,Caminho das pedras,Maria Clara Tomaz Machado,ISBN: 9788570781598,Bibliography,Sources,History,Editora: EDUFU,Ano: 2008,275 páginas
18,Imagens do Brasil disseminadas em prosa e verso,"Encontro Regional da ABRALIC (10th 2005 Rio de Janeiro, Brazil)",ISBN: 9788570781604,"National characteristics, Brazilian, in literature",In literature,Literature and history,Editora: EDUFU,Ano: 2007,273 páginas
19,Organização política e segurança alimentar na sociedade Krahô,Emerson Ferreira Guerra,ISBN: 9788570781666,Kraho Indians,Agriculture,Politics and government,Editora: EDUFU,Ano: 2008,180 páginas
20,Tempo e memória no texto e na cena de Jorge Andrade,Luiz Humberto Martins Arantes,ISBN: 9788570781895,Brazilian drama,Theater and society,History and criticism,Editora: EDUFU,Ano: 2008,249 páginas
21,"O violão, da marginalidade à academia",Sandra Mara Alfonso,ISBN: 9788570781925,Guitar,Guitar music,Instruction and study,Editora: EDUFU,Ano: 2009,266 páginas
22,Experiências políticas no ABC paulista,Antônio de Almeida,ISBN: 9788570782069,Working class,Political activity,History,Editora: EDUFU,Ano: 2009,299 páginas
23,Retratos do trabalho no Brasil,Vera Lucia Navarro,ISBN: 9788570782106,Labor market,Industrial hygiene,Contracting out,Editora: EDUFU,Ano: 2009,334 páginas
24,Vozes da terra,Cléria Botêlho da Costa,ISBN: 9788570782137,Social conditions,Land reform,Agricultural laborers,Editora: EDUFU,Ano: 2009,318 páginas
25,História e loucura,Yonissa Marmitt Wadi,ISBN: 9788570782359,Psychiatry,Mental illness,Mental health,Editora: EDUFU,Ano: 2010,366 páginas
26,Historiar,Cláudia Graziela Ferreira Lemes,ISBN: 9788570782366,Historiography,Congresses,Culture,Editora: EDUFU,Ano: 2009,329 páginas
27,O Café de Portinari na Exposição do Mundo Português,Luciene Lehmkuhl,ISBN: 9788570782489,Art and society,History,Criticism and interpretation,Editora: EDUFU,Ano: 2011,268 páginas
28,"Ciência, educação e livros didáticos do século XIX",Karl Michael Lorenz,ISBN: 9788570782533,Science,Study and teaching,"Colégio Pedro II (Rio de Janeiro, Brazil)",Editora: EDUFU,Ano: 2010,365 páginas
29,História e cultura popular,Newton Dângelo,ISBN: 9788570782557,Popular culture,Popular music,Folklore,Editora: EDUFU,Ano: 2010,393 páginas
30,Paisagens do Pantanal e do Cerrado,Silvio Carlos Rodrigues,ISBN: 9788570782670,Environmental conditions,Floodplains,Cerrados,Editora: EDFU,Ano: 2011,288 páginas
31,A escrita escolar da história,Décio Gatti Júnior,ISBN: 9788574602684,History,Textbooks,Study and teaching,Editora: EDUSC,Ano: 2004,250 páginas
32,Psicologia escolar e arte,Silvia Maria Cintra da Silva,ISBN: 9788575161296,Creative ability,Art,Educational psychology,Editora: Alínea Editora & EDUFU,Ano: 2005,208 páginas
